date,from,to,text
2006-07-08T16:17:00.000Z,Seveas,ompaul,only if #ubuntu-ie really serves whiskey now ;)
2006-07-08T16:18:00.000Z,ompaul,Seveas,well I have no idea who put that in initially but I left it there
2006-07-09T13:47:00.000Z,Seveas,ompaul,too slow :
2006-07-09T13:47:00.000Z,ompaul,Seveas,too many words :)
2006-07-12T15:48:00.000Z,ompaul,Seveas,see that one .. nasty
2006-07-14T12:06:00.000Z,ompaul,Seveas,bug
2006-07-14T12:06:00.000Z,Seveas,ompaul,see that
2006-07-14T12:28:00.000Z,ompaul,Seveas,amazing the stuff we keep in our heads :)
2006-07-23T09:22:00.000Z,ompaul,Seveas,I put in the other one to stop people talking I had considered muting
2006-07-23T09:29:00.000Z,Seveas,ompaul,update-rc.d
2006-07-23T09:29:00.000Z,ompaul,Seveas,thanks
2006-07-23T09:32:00.000Z,ompaul,Seveas,thanks  - my mind wend blank and it is not somehting I do on a daily basis
2006-07-24T11:06:00.000Z,ompaul,Seveas,ehh tracebace ;-/
2006-07-24T11:08:00.000Z,Seveas,ompaul,?
2006-07-24T11:08:00.000Z,ompaul,Seveas,see the traceback in the ops place
2006-07-24T11:15:00.000Z,ompaul,Seveas,fixed?
2006-07-24T11:15:00.000Z,Seveas,ompaul,"yup, 0.4.4 is downloadable now"
2006-07-24T11:15:00.000Z,ompaul,Seveas,on my way
2006-07-24T11:16:00.000Z,ompaul,Seveas, is it registered on lp?
2006-07-24T11:16:00.000Z,Seveas,ompaul,no
2006-07-26T12:53:00.000Z,ompaul,Seveas,chown username:username that-file -this changes that-file to be owned by one user
2006-07-27T06:50:00.000Z,Seveas,ompaul,looks like one of the 2 cluster machines is problematic
2006-07-27T06:50:00.000Z,ompaul,Seveas,ahh
2006-07-30T11:11:00.000Z,ompaul,Seveas,"ile '/home/ompaul/.xchat2/chanserv.py', line 366, in do_mode"
2006-08-05T15:27:00.000Z,ompaul,Seveas,talk about bad timing
2006-08-11T08:57:00.000Z,Seveas,ompaul,"for info on your bum, get a few mirrors"
2006-08-16T12:43:00.000Z,Seveas,ompaul,I was already on it ;)
2006-08-24T10:42:00.000Z,Seveas,ompaul,damn you :
2006-09-02T06:33:00.000Z,ompaul,Seveas,you have pm from a while ago
2006-09-02T06:34:00.000Z,Seveas,ompaul,why did you unban that piece of ...?
2006-09-02T06:34:00.000Z,Seveas,ompaul,"tor/regular/* are known non-abusers, they don't need to be banned"
2006-09-02T06:35:00.000Z,ompaul,Seveas,"okay tor,  I did before that *.a. for that rather anti social individual"
2006-09-02T06:35:00.000Z,ompaul,Seveas,he had two ips he has no .a.001.beg.iprimus.net.au
2006-10-04T14:57:00.000Z,ompaul,Seveas,it is done
2006-10-07T09:09:00.000Z,Seveas,ompaul,timEtable?
2006-10-07T09:09:00.000Z,ompaul,Seveas,error-no-such-clue
2006-10-07T09:11:00.000Z,Seveas,ompaul,do you still have that python thing I once wrote for you?
2006-10-07T09:12:00.000Z,ompaul,Seveas,dict?
2006-10-07T09:12:00.000Z,ompaul,Seveas,or something else?
2006-10-07T09:12:00.000Z,ompaul,Seveas,msg me
2006-11-26T08:16:00.000Z,Seveas,ompaul,!
2006-11-26T08:18:00.000Z,Seveas,ompaul,I don't look THAT funny...
2006-11-26T08:18:00.000Z,ompaul,Seveas,the joke was
2007-02-13T16:08:00.000Z,Seveas,ompaul,thanks
2007-02-13T16:08:00.000Z,ompaul,Seveas,np
2007-03-13T14:39:00.000Z,ompaul,Seveas,I want to remind you of a time when there were 1/10 of the users there are now
2007-03-21T14:13:00.000Z,Seveas,ompaul,faster than the speed of sound
2007-03-21T14:13:00.000Z,ompaul,Seveas,I have some uses :) we are working on the list
2007-03-27T14:34:00.000Z,ompaul,Seveas,:)
2007-04-03T15:31:00.000Z,ompaul,Seveas,shall I do the -read-topic ?
2007-04-03T15:31:00.000Z,Seveas,ompaul,be my guest :)
2007-04-13T14:03:00.000Z,Seveas,ompaul,since he's microsoft?
2007-04-13T14:43:00.000Z,Seveas,ompaul,not for a cloak ;)
2007-04-13T14:43:00.000Z,ompaul,Seveas,it is one part of a long stream of things you need to do
2007-09-30T13:58:00.000Z,Seveas,ompaul,no
2007-09-30T13:58:00.000Z,ompaul,Seveas,I caught that
2007-09-30T14:38:00.000Z,Seveas,ompaul,they're giving me trolls for my birthday
2008-01-27T15:29:00.000Z,Seveas,ompaul,humbug -- I'm easily scared :)
2008-01-27T15:30:00.000Z,ompaul,Seveas,ehhhhhhhhh liar
2008-01-27T19:49:00.000Z,ompaul,Seveas,sudo apt-get isntall diveintopython
2008-04-19T23:39:00.000Z,Seveas,ompaul,about 5 minutes late :p
2008-04-19T23:40:00.000Z,ompaul,Seveas,I'll go back to sleep ;-)
2008-04-20T19:19:00.000Z,ompaul,Seveas,na don't think so
2008-04-20T19:20:00.000Z,Seveas,ompaul,"well, most elizas make more sense than him :)"
2008-07-13T04:20:00.000Z,ompaul,Seveas,you could register it if you wanted to ;-)
2008-07-13T04:22:00.000Z,Seveas,ompaul,you reading planet gnome?
2008-07-13T04:22:00.000Z,ompaul,Seveas,no I guess I should
2008-07-13T04:22:00.000Z,Seveas,ompaul,"neh, just had a joke in mind that I won't tell now :)"
2008-08-09T21:38:00.000Z,ompaul,Seveas,you are too fast ;-)
2008-08-09T21:38:00.000Z,Seveas,ompaul,"and *without* the slash here, this is rsync :)"
2008-08-09T21:38:00.000Z,ompaul,Seveas,ack
2008-09-14T20:30:00.000Z,ompaul,Seveas,check pm
2005-06-17T15:47:00.000Z,ompaul,,how do I allow the one user on this box to access 'ifup ppp0'
2005-06-17T15:48:00.000Z,ompaul,,I do not want the user here to have to use sudo to access it
2005-06-17T15:48:00.000Z,Seveas,ompaul,add a line for it in the sudoers file
2005-06-17T15:49:00.000Z,ompaul,Seveas,thanks I will
2005-06-19T06:34:00.000Z,Seveas,ompaul,it's not in the repositories yet
2005-06-19T06:34:00.000Z,Seveas,ompaul,"well, i said it wrong: it will not be in hoary repos."
2005-06-26T15:59:00.000Z,Seveas,ompaul,what do you mean..?
2005-06-27T16:00:00.000Z,ompaul,Seveas,"the first set of questions I saw when I came in here during array 3/4 were more linux rpm users getting  to grips with .deb, now it is more like this is how linux works ."
2005-06-27T16:14:00.000Z,ompaul,Seveas,I also point to the word newbie and nubie and things like that to back up my claim :-)
2005-07-02T12:18:00.000Z,Seveas,ompaul,it's not really clear what you mean...
2005-07-02T12:21:00.000Z,ompaul,Seveas,"using that system,admin,printing menu option, would users benefit from the following options (A) configure printing (B) being able to try to print test page (C) use last know good value settings for printer {in case something had fallen over} (D) if for the users printer their machine used the USB system be in a position to kill it off and restart it?"
2005-07-05T13:09:00.000Z,Seveas,ompaul,for the latter: dpkg-reconfigure gdm
2005-07-05T13:10:00.000Z,ompaul,Seveas,thanks
2005-07-05T13:10:00.000Z,Seveas,ompaul,and for the former: you can set which sound to use
2005-07-05T13:11:00.000Z,ompaul,Seveas,"the default one, phone rang while I had mouse hovering over a potential change -and the change sticks :)"
2005-07-05T13:11:00.000Z,Seveas,ompaul,lol :)
2005-07-05T13:11:00.000Z,ompaul,Seveas,well it was more the fact that when the mobile rang I jumped
2005-07-05T13:12:00.000Z,ompaul,Seveas,you win some you loose some :)
2005-07-05T13:12:00.000Z,ompaul,Seveas,thanks
2005-07-05T14:57:00.000Z,ompaul,Seveas,is anyone doing a .deb for smeg?
2005-07-05T14:57:00.000Z,Seveas,ompaul,www.realistanew.com/projects/smeg
2005-07-05T14:58:00.000Z,ompaul,Seveas,how did I know you would know that :)
2005-07-05T15:00:00.000Z,ompaul,Seveas,so its for breezy :)
2005-07-07T09:54:00.000Z,ompaul,Seveas,"kvidell emm I found it, rcconf"
2005-07-12T16:17:00.000Z,ompaul,Seveas,it even challanges itself at times :)
2005-07-28T13:41:00.000Z,Seveas,ompaul,/usr/share/sounds/*
2005-08-01T13:22:00.000Z,ompaul,Seveas,latex in a gui
2005-08-01T13:22:00.000Z,Seveas,ompaul,ah
2005-08-01T13:41:00.000Z,Seveas,ompaul,bad idea
2005-08-01T15:09:00.000Z,ompaul,Seveas,the non standard standard a quick way to die
2005-08-06T10:39:00.000Z,ompaul,Seveas,and some would say better :)
2005-08-07T15:29:00.000Z,ompaul,Seveas,what is 'that much' in terms of quantity? :-)
2005-08-07T15:30:00.000Z,Seveas,ompaul,that information comes only on need-to-know basis :)
2005-08-24T16:13:00.000Z,Seveas,ompaul,sabdfl will come up with one in october :)
2005-08-24T16:14:00.000Z,ompaul,Seveas,there is that
2005-08-24T16:16:00.000Z,ompaul,Seveas,maybe Gracious 'Golden\ Orb' it is a type of spider and a rather nice one - biggest I ever saw in my life was in a jungle it spanned about 18 inches (45 cm) across it was a little longer and it had a web that was over 5 meters wide
2005-08-24T16:16:00.000Z,ompaul,Seveas,in a city environment it was about 4 inches in size
2005-08-24T13:39:00.000Z,Seveas,ompaul,?
2005-08-26T09:27:00.000Z,ompaul,Seveas,that is nice :)
2005-08-27T15:37:00.000Z,ompaul,Seveas,ehh  persistant little b*****
2005-08-27T15:38:00.000Z,ompaul,Seveas,it must be getting popular this ubuntu thing :)
2005-08-27T15:45:00.000Z,ompaul,Seveas,cheers
2005-08-27T15:47:00.000Z,ompaul,Seveas,short night :)
2005-08-30T16:16:00.000Z,ompaul,Seveas,they want to take you to 'ubuntu court' :-)
2005-08-30T16:16:00.000Z,Seveas,ompaul,*g* don't read too much sounder :)
2005-08-30T16:16:00.000Z,ompaul,Seveas,hehehe
2005-08-30T16:18:00.000Z,ompaul,Seveas,in all honesty I found that very funny when I read it - after all you said three - mak0 the man with four letters who was the third yourself? cos sure as hell it was not your irc buddy :)
2005-08-30T16:19:00.000Z,Seveas,ompaul,"actually, there are 3 or four other people who disliked my actions in here (I banned them for disrupting the atmosphere) and the kept on threatening me"
2005-08-30T16:19:00.000Z,ompaul,Seveas,how to win friends and influence people
2005-08-30T16:19:00.000Z,Seveas,ompaul,*g*
2005-08-30T16:20:00.000Z,ompaul,Seveas,if you ever come to Dublin remind me to buy you your poison
2005-09-01T16:17:00.000Z,Seveas,ompaul,-> aptitude >> dselect
2005-09-01T16:18:00.000Z,ompaul,Seveas,"yeah, but there is the fun factor some tomes"
2005-09-01T16:18:00.000Z,ompaul,Seveas,*times
2005-09-01T05:45:00.000Z,ompaul,Seveas,pm?
2005-09-01T05:46:00.000Z,Seveas,ompaul,be my guest
2005-09-03T08:38:00.000Z,Seveas,ompaul,k
2005-09-05T16:05:00.000Z,ompaul,Seveas,can you set that bot you had in #ubuntu-unregged again - there are some peeps in there who need clues how to get to here
2005-09-08T05:10:00.000Z,Seveas,ompaul,the thing is often broken
2005-09-08T07:19:00.000Z,Seveas,ompaul,"stoeptegel, just installing linux-k7 is the easiest route :)"
2005-09-08T07:20:00.000Z,ompaul,Seveas,so I go to court this week :) for bad info
2005-09-08T07:21:00.000Z,Seveas,ompaul,rofl ;)
2005-09-08T07:22:00.000Z,ompaul,Seveas,nice to see automagically has gotten around a bit
2005-09-08T07:23:00.000Z,ompaul,Seveas,are we going to see another colony?
2005-09-08T07:29:00.000Z,Seveas,ompaul,*g*
2005-09-10T14:54:00.000Z,ompaul,Seveas,pm?
2005-09-10T14:54:00.000Z,Seveas,ompaul,bmg
2005-09-11T14:45:00.000Z,ompaul,Seveas,... +r ?
2005-09-11T14:46:00.000Z,Seveas,ompaul,no
2005-09-12T15:09:00.000Z,ompaul,Seveas,using breezy on any boxes yet?
2005-09-12T15:09:00.000Z,Seveas,ompaul,/me uses only hoary
2005-09-21T16:43:00.000Z,ompaul,Seveas,"cyberwarrior is using live CD and it is not starting for him, suggested he try server boot to check it - no idea if that worked for him - pIII 128 megs ram iirc"
2005-09-21T13:45:00.000Z,ompaul,Seveas,thanks
2005-09-23T14:11:00.000Z,ompaul,Seveas, where
2005-09-23T14:12:00.000Z,Seveas,ompaul,'the usual' :)
2005-09-23T14:13:00.000Z,Seveas,ompaul,"cheers, thanks mate!"
2005-09-23T15:09:00.000Z,Seveas,ompaul, :)
2005-09-23T15:09:00.000Z,ompaul,Seveas,mailing list 2.6 kernel something
2005-09-23T15:21:00.000Z,ompaul,Seveas,are those packages back?
2005-09-23T15:21:00.000Z,Seveas,ompaul,yah :)
2005-09-23T15:42:00.000Z,ompaul,Seveas,well there is the phrase - cool beans
2005-09-24T05:30:00.000Z,ompaul,Seveas," thanks, I was just about to look under a rock for my brain but you saved me :)"
2005-09-24T14:31:00.000Z,Seveas,ompaul,wrong language ;)
2005-09-24T14:32:00.000Z,ompaul,Seveas,well you answered and there were no caps :)
2005-09-24T14:33:00.000Z,ompaul,Seveas,sorry just read what you said ... I need my eye to brain channel fixed :)
2005-09-24T14:39:00.000Z,ompaul,Seveas,no I am asking lsuactiafner if that has been checked
2005-09-24T14:40:00.000Z,ompaul,Seveas,I just checked - guess I did things wrong way around that time
2005-09-25T16:47:00.000Z,ompaul,Seveas,less of the Mr :)
2005-09-26T14:38:00.000Z,ompaul,Seveas,"they were all trained by im clients, no irc concepts invoked and caps the order of the day"
2005-09-26T14:38:00.000Z,Seveas,ompaul,it's still september
2005-09-26T14:38:00.000Z,ompaul,Seveas,this I know :)
2005-09-26T10:21:00.000Z,ompaul,Seveas,howya
2005-09-27T16:18:00.000Z,ompaul,Seveas,you are in the future her it is 11:18
2005-09-27T09:03:00.000Z,ompaul,Seveas,he is asking how to increase the size of 'swap'
2005-09-27T09:04:00.000Z,Seveas,ompaul,"hmm, I don't read that in his gibberish.."
2005-09-27T09:48:00.000Z,ompaul,Seveas,how expensive is a domain in .nl?
2005-09-27T09:48:00.000Z,Seveas,ompaul,about EUR 8/year
2005-09-27T09:49:00.000Z,ompaul,Seveas,thanks
2005-09-27T10:14:00.000Z,Seveas,ompaul,that's what makes vim such a nice IDE
2005-09-28T12:19:00.000Z,ompaul,Seveas,om?
2005-09-28T12:19:00.000Z,ompaul,Seveas,pm even :-/
2005-09-28T12:20:00.000Z,Seveas,ompaul,anytime
2005-09-28T12:55:00.000Z,Seveas,ompaul,sounds like a safe distance..
2005-09-28T12:56:00.000Z,ompaul,Seveas,maybe :)
2005-09-28T14:02:00.000Z,ompaul,Seveas,yeap I would agree with that I should be number one idiot :)
2005-09-28T14:46:00.000Z,Seveas,ompaul,good call
2005-09-28T14:46:00.000Z,ompaul,Seveas,thank you
2005-09-28T14:48:00.000Z,ompaul,Seveas,"so I got a phone call, can I do voip break out in the US and ring AOL, the guy was serious"
2005-09-28T14:49:00.000Z,ompaul,Seveas,I told him to try
2005-09-29T09:35:00.000Z,ompaul,Seveas,"I got four words for ya, no firefox when root"
2005-09-29T09:35:00.000Z,Seveas,ompaul,my kind of thinking :)
2005-09-29T09:46:00.000Z,ompaul,Seveas,a spec that generated an apt.conf might be a good idea to lock stuff to the first installed version and moves this along with dist upgrade
2005-09-30T15:23:00.000Z,ompaul,Seveas,thanks
2005-09-30T09:18:00.000Z,ompaul,Seveas,who is looking after shipit?
2005-09-30T09:18:00.000Z,Seveas,ompaul,it used to be mako
2005-09-30T09:21:00.000Z,ompaul,Seveas,I have two events on in Oct - wishful thinking :-)
2005-09-30T09:21:00.000Z,Seveas,ompaul,very :)
2005-09-30T09:22:00.000Z,ompaul,Seveas,one of them is eu/national politicians and the other is the local lug AGM I live in hope
2005-09-30T11:47:00.000Z,ompaul,Seveas,+r ?
2005-10-01T13:49:00.000Z,ompaul,Seveas,got a mo?
2005-10-01T15:15:00.000Z,ompaul,Seveas,early lunch :)
2005-10-01T06:28:00.000Z,ompaul,Seveas,kick me
2005-10-04T13:47:00.000Z,ompaul,Seveas,what to do that?
2005-10-04T13:47:00.000Z,ompaul,Seveas,want to do that? :)
2005-10-07T07:35:00.000Z,Seveas,ompaul,apps -> system tools -> apps menu editor
2005-10-07T07:35:00.000Z,ompaul,Seveas,thanks
2005-10-07T07:41:00.000Z,ompaul,Seveas,thanks for smeg :) we needed it
2005-10-07T14:22:00.000Z,Seveas,ompaul,sudo gdmsetup
2005-10-07T14:22:00.000Z,ompaul,Seveas,thanks
2005-10-07T14:23:00.000Z,ompaul,Seveas,if you promise not to laugh: Could not access GDM configuration file.
2005-10-07T14:23:00.000Z,Seveas,ompaul,using sudo?
2005-10-07T14:23:00.000Z,ompaul,Seveas, yes
2005-10-07T14:25:00.000Z,ompaul,Seveas,I've gone to the man page :) back in an hour or two
2005-10-09T15:56:00.000Z,Seveas,ompaul,beat ya :p
2005-10-18T11:05:00.000Z,ompaul,Seveas,"fast mirror, http://ie.releases.ubuntu.com/ubuntu-releases/5.10/"
2005-10-22T06:17:00.000Z,Seveas,ompaul,meh
2005-10-22T06:18:00.000Z,ompaul,Seveas,okay
2005-10-29T10:03:00.000Z,ompaul,Seveas,saw you survived the dragon and ikea :-)
2005-10-29T10:04:00.000Z,Seveas,ompaul,did you see the big photo too? :)
2005-10-29T10:04:00.000Z,ompaul,Seveas,yeap
2005-11-05T15:15:00.000Z,ompaul,Seveas,50 ways to entice a new user
2005-11-05T15:16:00.000Z,Seveas,ompaul,?
2005-11-05T15:16:00.000Z,ompaul,Seveas,that pic
2005-11-09T09:06:00.000Z,ompaul,Seveas,well he was being a rabbit hopping in and out :)
2005-11-25T06:20:00.000Z,ompaul,Seveas,bot issues?
2005-11-25T06:20:00.000Z,Seveas,ompaul,yeah
2005-11-25T06:21:00.000Z,Seveas,ompaul,cat /dev/atomicbomb /mnt/redmond
2005-11-25T06:22:00.000Z,ompaul,Seveas,"na that would waste too much energy, cat /dev/null >  /mnt/redmond it will just a a shell of its former self"
2005-12-02T17:22:00.000Z,Seveas,ompaul,a -
2005-12-02T17:22:00.000Z,ompaul,Seveas,thanks
2005-12-02T17:22:00.000Z,Seveas,ompaul,but leaving out the -f parameter completely has the same effect :)
2005-12-02T17:23:00.000Z,ompaul,Seveas,so f -f are the same :)
2005-12-14T16:16:00.000Z,ompaul,Seveas,"not mere - that would indicate that it was hollow and empty and devoid of usefulness, surely if that were the case it would never have been made :-)"
2005-12-16T17:07:00.000Z,ompaul,Seveas,is there a binary compatible thing that works with ppc bins?
2005-12-16T17:08:00.000Z,Seveas,ompaul,for what?
2005-12-16T17:08:00.000Z,ompaul,Seveas, sklav is asking about running the media player from within OS X in ubuntu but I would doubt if any real work has taken place there
2005-12-16T17:09:00.000Z,Seveas,ompaul,I wouldn't have a single hint of a clue
2005-12-16T17:09:00.000Z,ompaul,Seveas, me in same club :)
2005-12-30T09:28:00.000Z,Seveas,ompaul,gdm isn't the desktop...
2005-12-30T09:28:00.000Z,ompaul,Seveas,read what I said again :)
2005-12-30T09:29:00.000Z,Seveas,ompaul,I just dropped in so I might be talking rubbish
2005-12-30T09:29:00.000Z,ompaul,Seveas,heheh well I can't remember how to type today
2005-12-30T09:30:00.000Z,Seveas,ompaul,"ah, mindnumbing.."
2005-12-30T15:43:00.000Z,Seveas,ompaul,"caret, not carrot :)"
2005-12-30T15:43:00.000Z,ompaul,Seveas,I bow but am hungry (not) :-)
2005-12-31T07:26:00.000Z,Seveas,ompaul,you're not people. You're irish :p
2005-12-31T07:27:00.000Z,ompaul,Seveas,DOH!
2006-01-01T15:42:00.000Z,Seveas,ompaul,by all menas
2006-01-01T15:52:00.000Z,ompaul,Seveas,seems some of them got it a little wrong 'it is the season to be trolled' seems to be the motto
2006-01-02T16:38:00.000Z,Seveas,ompaul,third
2006-01-03T16:49:00.000Z,Seveas,ompaul,dapper has rw support for ntfs :)
2006-01-03T16:49:00.000Z,ompaul,Seveas,don't say dapper until X3 :)
2006-01-07T16:04:00.000Z,ompaul,Seveas,"I contend that you are a percentage correct, however the true version reads as follows: there is no accounting for exactly how stupid some people are"
2006-01-09T07:02:00.000Z,Seveas,ompaul,no it's not on the cd
2006-01-09T16:15:00.000Z,ompaul,Seveas,thanks
2006-01-11T11:20:00.000Z,ompaul,Seveas,!!!!
2006-01-12T12:49:00.000Z,Seveas,ompaul,actually almost 3 months
2006-01-12T12:49:00.000Z,ompaul,Seveas,who is general and what is he in agreement with?
2006-01-12T12:51:00.000Z,Seveas,ompaul,bollocks
2006-01-12T12:52:00.000Z,ompaul,Seveas,:)
2006-01-14T13:06:00.000Z,ompaul,Seveas,msg?
2006-01-14T13:12:00.000Z,ompaul,Seveas,question >>> deb-src http://us.archive.ubuntu.com/ubuntu breezy-backports main restricted universe multiverse << that would not work for multiverse am I correct in that
2006-01-14T13:13:00.000Z,Seveas,ompaul,you're not
2006-01-14T13:14:00.000Z,ompaul,Seveas,ahh I did not know that
2006-01-14T13:14:00.000Z,ompaul,Seveas,or to rephrase it - I do now :)
2006-01-18T11:21:00.000Z,ompaul,Seveas,as they say less is the new more :)
2006-01-18T11:22:00.000Z,Seveas,ompaul,most is even better
2006-01-18T11:24:00.000Z,Seveas,ompaul,slowpoke irish penguin!
2006-01-18T11:24:00.000Z,ompaul,Seveas,thanks for your concern :)
2006-01-18T11:38:00.000Z,ompaul,Seveas,your still too fast
2006-01-18T11:38:00.000Z,Seveas,ompaul,that may be a side effect of taking too much lsd ;)
2006-01-18T14:27:00.000Z,Seveas,ompaul,you're right :)
2006-01-18T14:28:00.000Z,ompaul,Seveas,:) kewl
2006-01-19T09:56:00.000Z,Seveas,ompaul,"no, I just hava a highlight on ubuntulinux.nl and ubuntu-nl :)"
2006-01-19T09:56:00.000Z,ompaul,Seveas,drink your coffee and enjoy it anyway
2006-01-19T09:57:00.000Z,Seveas,ompaul,will do :)
2006-01-19T10:00:00.000Z,ompaul,Seveas,got isbn 1-59327-069-0 and 1-58450-371-8 today - gona take this stuff a lot more seriouslly and get to grips with gnubuntu some how
2006-01-20T12:51:00.000Z,Seveas,ompaul,and even that is an understatement
2006-01-20T12:52:00.000Z,Seveas,ompaul,wtf?
2006-01-20T12:52:00.000Z,ompaul,Seveas,well it is hard to say evil to infinity and beyond
2006-01-20T12:52:00.000Z,ompaul,Seveas,ahh not looked at it myself (so doh)
2006-01-21T17:00:00.000Z,Seveas,ompaul,the bot can send things to unregistered people too
2006-01-21T17:00:00.000Z,ompaul,Seveas,thanks
2006-01-21T17:01:00.000Z,ompaul,Seveas,have an ice cold guinness
2006-01-21T17:03:00.000Z,Seveas,ompaul,"the heating in my apartment is busted, so it's ice cold already"
2006-01-21T17:06:00.000Z,ompaul,Seveas,get a couple of old 21 inch CRT monitors
2006-01-24T14:46:00.000Z,ompaul,Seveas,very funny - on dialup and getting ill the more the minutes pass - archives corrupting as they download
2006-01-24T14:49:00.000Z,ompaul,Seveas,I was going to say that fool needed to be removed - no pity for them :)
2006-01-24T14:50:00.000Z,Seveas,ompaul,hahaha :)
2006-01-26T17:56:00.000Z,ompaul,Seveas,there is that
2006-01-28T17:29:00.000Z,ompaul,Seveas,where is the pool of packages for dapper?
2006-01-28T17:29:00.000Z,Seveas,ompaul,archive.ubuntu.com/ubuntu/pool
2006-02-19T12:30:00.000Z,ompaul,Seveas,no one did :-(
2006-02-19T12:30:00.000Z,Seveas,ompaul,dang
2006-02-20T17:15:00.000Z,ompaul,Seveas,I'll do it
2006-02-20T17:16:00.000Z,Seveas,ompaul,"too late, I have the lock :)"
2006-02-27T17:40:00.000Z,ompaul,Seveas,lart yourself that emessage is deprecated :)
2006-02-27T17:40:00.000Z,Seveas,ompaul,?
2006-03-01T08:00:00.000Z,ompaul,Seveas,just beat me
2006-03-01T08:16:00.000Z,ompaul,Seveas,u okay for  of an hour?
2006-03-02T13:43:00.000Z,Seveas,ompaul,evenin' 
2006-03-02T13:43:00.000Z,ompaul,Seveas,good evening
2006-03-03T07:13:00.000Z,ompaul,Seveas,+something for swap
2006-03-03T07:13:00.000Z,Seveas,ompaul,good catch
2006-03-09T17:27:00.000Z,ompaul,Seveas,"u about, or even Seveas"
2006-03-09T14:46:00.000Z,ompaul,Seveas,kinda busy - 30 mins don't go by I think
2006-03-09T14:48:00.000Z,ompaul,Seveas,but plenty seen :)
2006-03-09T15:15:00.000Z,ompaul,Seveas,starting an app on bootup in a termina
2006-03-09T15:16:00.000Z,ompaul,Seveas,starting an app on bootup not in a termial like bum for server - brain has gone walkies
2006-03-09T15:16:00.000Z,Seveas,ompaul,make an initscript and update-rc.d it
2006-03-09T15:18:00.000Z,Seveas,ompaul,check this
2006-03-09T15:19:00.000Z,ompaul,Seveas,I have seen it I know it
2006-03-09T15:19:00.000Z,Seveas,ompaul,"no, Ubugtu now should have an autokick"
2006-03-09T15:21:00.000Z,Seveas,ompaul,"ah narf, i misspelled"
2006-03-10T17:02:00.000Z,ompaul,Seveas,:-)
2006-03-10T17:06:00.000Z,ompaul,Seveas,https://wiki.ubuntu.com/DistroLogic have a look at that
2006-03-10T17:09:00.000Z,ompaul,Seveas,https://wiki.ubuntu.com/DistroLogic have a look at that will ya
2006-03-10T17:09:00.000Z,Seveas,ompaul,tomorrow if you don't mind
2006-03-10T17:10:00.000Z,ompaul,Seveas,yeah no worries if this thing goes bottoms up again I may head off
2006-03-10T17:10:00.000Z,Seveas,ompaul,it'll happen soon ;)
2006-03-10T17:35:00.000Z,ompaul,Seveas,want a hand?
2006-03-10T17:35:00.000Z,Seveas,ompaul,"300+ down, 20 to go"
2006-03-10T17:35:00.000Z,ompaul,Seveas,is that a no? ;-0
2006-03-10T16:02:00.000Z,ompaul,Seveas,having a chat with MP about the ubugtu I would leave it there for a few hours more - we have to wait on the big country beside you to log onto the interweb and see if they try again
2006-03-10T06:08:00.000Z,ompaul,Seveas,u there?
2006-03-11T07:30:00.000Z,Seveas,ompaul,I disagree
2006-03-12T17:25:00.000Z,ompaul,Seveas,"can you take a look at this, I don't recognise the symbol on bin: http://paste.ubuntu-nl.org/i9808"
2006-03-12T17:34:00.000Z,ompaul,Seveas,fast enough from here
2006-03-14T16:03:00.000Z,ompaul,Seveas,got them all with the bot
2006-03-14T16:04:00.000Z,ompaul,Seveas,any (easy) way ubugtu could catch the sign off names and then when the user comes back say !exploit?
2006-03-14T16:05:00.000Z,Seveas,ompaul,not an easy way but maybe doable
2006-03-15T06:00:00.000Z,Seveas,ompaul,?
2006-03-15T06:00:00.000Z,ompaul,Seveas,issue with editor
2006-03-15T06:16:00.000Z,ompaul,Seveas,Seveas
2006-03-15T06:16:00.000Z,ompaul,Seveas,can't call you a wuss
2006-03-16T14:20:00.000Z,ompaul,Seveas,who'd a thunk it
2006-03-16T14:21:00.000Z,Seveas,ompaul,no irc exploiters in the last 2 days
2006-03-16T14:22:00.000Z,ompaul,Seveas,this is not a bad thing
2006-03-16T14:22:00.000Z,ompaul,Seveas,you wish
2006-03-16T14:22:00.000Z,Seveas,ompaul,ignorance is bliss
2006-04-06T08:11:00.000Z,Seveas,ompaul,?
2006-04-06T08:11:00.000Z,ompaul,Seveas,khafra's question any ideas
2006-04-06T08:13:00.000Z,ompaul,Seveas,got a few minutes for some 'blue sky thinking'?
2006-04-06T08:13:00.000Z,Seveas,ompaul,the sky isn't blue
2006-04-06T08:14:00.000Z,ompaul,Seveas,:-))
2006-04-14T05:34:00.000Z,Seveas,ompaul,only while we are not gossiping about you
2006-04-15T09:37:00.000Z,Seveas,ompaul,it seems to be spanish fool day today....
2006-04-15T09:37:00.000Z,ompaul,Seveas,so it shall be pitied
2006-04-15T09:48:00.000Z,Seveas,ompaul,BOFH! banning an entire provider 
2006-04-15T09:48:00.000Z,ompaul,Seveas,what do you want me to be? :-)
2006-04-15T09:50:00.000Z,Seveas,ompaul,fucking spammer
2006-04-15T09:50:00.000Z,ompaul,Seveas,get lilo they have no right to one #
2006-04-15T09:51:00.000Z,Seveas,ompaul,"I will, yesterday we reclaimed #ubuntu-help"
2006-04-19T05:09:00.000Z,ompaul,Seveas,it was dark out there
2006-04-19T05:09:00.000Z,Seveas,ompaul,you connect to the wrong servers
2006-04-19T05:10:00.000Z,ompaul,Seveas,my ping time is 0.20
